Metric,Algorithm_1,Algorithm_2,Seed,NSGA2_Value,NSGA3_Value,Winner,Difference,UNSGA3_Value,SMSEMOA_Value,Hybrids_Value
IGD,NSGA3,Hybrids,2,,0.0262989761126674,Hybrids,0.0213757859516949,,,0.0049231901609725
IGD,NSGA3,Hybrids,3,,0.0232172632073241,Hybrids,0.0187138140531693,,,0.0045034491541548
IGD,UNSGA3,SMSEMOA,1,,,SMSEMOA,0.0030877024763804987,0.0211811014514634,0.0180933989750829,
IGD,UNSGA3,SMSEMOA,2,,,SMSEMOA,0.0103213127452619,0.0281279880191317,0.0178066752738698,
IGD,UNSGA3,SMSEMOA,3,,,SMSEMOA,0.012213572784881702,0.0275774213803662,0.0153638485954845,
IGD,UNSGA3,Hybrids,1,,,Hybrids,0.017566685636228298,0.0211811014514634,,0.0036144158152351
IGD,UNSGA3,Hybrids,2,,,Hybrids,0.0232047978581592,0.0281279880191317,,0.0049231901609725
IGD,UNSGA3,Hybrids,3,,,Hybrids,0.023073972226211402,0.0275774213803662,,0.0045034491541548
IGD,SMSEMOA,Hybrids,1,,,Hybrids,0.014478983159847799,,0.0180933989750829,0.0036144158152351
IGD,SMSEMOA,Hybrids,2,,,Hybrids,0.0128834851128973,,0.0178066752738698,0.0049231901609725
IGD,SMSEMOA,Hybrids,3,,,Hybrids,0.0108603994413297,,0.0153638485954845,0.0045034491541548
HV,NSGA2,NSGA3,1,0.879025763050737,0.8809289806416583,NSGA3,-0.001903217590921269,,,
HV,NSGA2,NSGA3,2,0.8933538345337508,0.8903463021190846,NSGA2,0.0030075324146662252,,,
HV,NSGA2,NSGA3,3,0.8862917237029568,0.8849149784385788,NSGA2,0.001376745264378032,,,
HV,NSGA2,UNSGA3,1,0.879025763050737,,UNSGA3,-0.009459828335961262,0.8884855913866982,,
HV,NSGA2,UNSGA3,2,0.8933538345337508,,UNSGA3,-0.0014698600219813507,0.8948236945557322,,
HV,NSGA2,UNSGA3,3,0.8862917237029568,,UNSGA3,-0.012216980794252041,0.8985087044972089,,
HV,NSGA2,SMSEMOA,1,0.879025763050737,,NSGA2,0.013813892967756591,,0.8652118700829804,
HV,NSGA2,SMSEMOA,2,0.8933538345337508,,NSGA2,0.016681511021128914,,0.8766723235126219,
HV,NSGA2,SMSEMOA,3,0.8862917237029568,,NSGA2,0.00013367904191952107,,0.8861580446610373,
HV,NSGA2,Hybrids,1,0.879025763050737,,Hybrids,-0.05387424550220965,,,0.9329000085529466
HV,NSGA2,Hybrids,2,0.8933538345337508,,Hybrids,-0.028363938322305993,,,0.9217177728560568
HV,NSGA2,Hybrids,3,0.8862917237029568,,Hybrids,-0.03832092623527361,,,0.9246126499382304
HV,NSGA3,UNSGA3,1,,0.8809289806416583,UNSGA3,-0.007556610745039993,0.8884855913866982,,
HV,NSGA3,UNSGA3,2,,0.8903463021190846,UNSGA3,-0.004477392436647576,0.8948236945557322,,
HV,NSGA3,UNSGA3,3,,0.8849149784385788,UNSGA3,-0.013593726058630073,0.8985087044972089,,
HV,NSGA3,SMSEMOA,1,,0.8809289806416583,NSGA3,0.01571711055867786,,0.8652118700829804,
HV,NSGA3,SMSEMOA,2,,0.8903463021190846,NSGA3,0.013673978606462689,,0.8766723235126219,
HV,NSGA3,SMSEMOA,3,,0.8849149784385788,SMSEMOA,-0.001243066222458511,,0.8861580446610373,
HV,NSGA3,Hybrids,1,,0.8809289806416583,Hybrids,-0.05197102791128838,,,0.9329000085529466
HV,NSGA3,Hybrids,2,,0.8903463021190846,Hybrids,-0.03137147073697222,,,0.9217177728560568
HV,NSGA3,Hybrids,3,,0.8849149784385788,Hybrids,-0.03969767149965164,,,0.9246126499382304
HV,UNSGA3,SMSEMOA,1,,,UNSGA3,0.023273721303717854,0.8884855913866982,0.8652118700829804,
HV,UNSGA3,SMSEMOA,2,,,UNSGA3,0.018151371043110265,0.8948236945557322,0.8766723235126219,
HV,UNSGA3,SMSEMOA,3,,,UNSGA3,0.012350659836171562,0.8985087044972089,0.8861580446610373,
HV,UNSGA3,Hybrids,1,,,Hybrids,-0.04441441716624839,0.8884855913866982,,0.9329000085529466
HV,UNSGA3,Hybrids,2,,,Hybrids,-0.026894078300324642,0.8948236945557322,,0.9217177728560568
HV,UNSGA3,Hybrids,3,,,Hybrids,-0.02610394544102157,0.8985087044972089,,0.9246126499382304
HV,SMSEMOA,Hybrids,1,,,Hybrids,-0.06768813846996624,,0.8652118700829804,0.9329000085529466
HV,SMSEMOA,Hybrids,2,,,Hybrids,-0.04504544934343491,,0.8766723235126219,0.9217177728560568
HV,SMSEMOA,Hybrids,3,,,Hybrids,-0.03845460527719313,,0.8861580446610373,0.9246126499382304
S,NSGA2,NSGA3,1,0.0034029154641809,0.0034551737343302,NSGA2,-5.225827014929997e-05,,,
S,NSGA2,NSGA3,2,0.0043249478556466,0.0038734169895318,NSGA3,0.00045153086611479957,,,
S,NSGA2,NSGA3,3,0.0036470495536969,0.0033504822389658,NSGA3,0.0002965673147310999,,,
S,NSGA2,UNSGA3,1,0.0034029154641809,,NSGA2,-0.00016941343601410003,0.003572328900195,,
S,NSGA2,UNSGA3,2,0.0043249478556466,,UNSGA3,0.0010078021201271998,0.0033171457355194,,
S,NSGA2,UNSGA3,3,0.0036470495536969,,UNSGA3,0.0006633006958297999,0.0029837488578671,,
S,NSGA2,SMSEMOA,1,0.0034029154641809,,SMSEMOA,0.0007325083765802,,0.0026704070876007,
S,NSGA2,SMSEMOA,2,0.0043249478556466,,SMSEMOA,0.0012463307426709997,,0.0030786171129756,
S,NSGA2,SMSEMOA,3,0.0036470495536969,,SMSEMOA,0.0003407390422471,,0.0033063105114498,
S,NSGA2,Hybrids,1,0.0034029154641809,,Hybrids,0.0005582912626992003,,,0.0028446242014817
S,NSGA2,Hybrids,2,0.0043249478556466,,Hybrids,0.0012694736803442997,,,0.0030554741753023
S,NSGA2,Hybrids,3,0.0036470495536969,,Hybrids,0.0011041181691659996,,,0.0025429313845309
S,NSGA3,UNSGA3,1,,0.0034551737343302,NSGA3,-0.00011715516586480006,0.003572328900195,,
S,NSGA3,UNSGA3,2,,0.0038734169895318,UNSGA3,0.0005562712540124002,0.0033171457355194,,
S,NSGA3,UNSGA3,3,,0.0033504822389658,UNSGA3,0.00036673338109870007,0.0029837488578671,,
S,NSGA3,SMSEMOA,1,,0.0034551737343302,SMSEMOA,0.0007847666467294999,,0.0026704070876007,
S,NSGA3,SMSEMOA,2,,0.0038734169895318,SMSEMOA,0.0007947998765562001,,0.0030786171129756,
S,NSGA3,SMSEMOA,3,,0.0033504822389658,SMSEMOA,4.41717275160001e-05,,0.0033063105114498,
S,NSGA3,Hybrids,1,,0.0034551737343302,Hybrids,0.0006105495328485003,,,0.0028446242014817
S,NSGA3,Hybrids,2,,0.0038734169895318,Hybrids,0.0008179428142295001,,,0.0030554741753023
S,NSGA3,Hybrids,3,,0.0033504822389658,Hybrids,0.0008075508544348998,,,0.0025429313845309
S,UNSGA3,SMSEMOA,1,,,SMSEMOA,0.0009019218125943,0.003572328900195,0.0026704070876007,
S,UNSGA3,SMSEMOA,2,,,SMSEMOA,0.00023852862254379993,0.0033171457355194,0.0030786171129756,
S,UNSGA3,SMSEMOA,3,,,UNSGA3,-0.00032256165358269997,0.0029837488578671,0.0033063105114498,
S,UNSGA3,Hybrids,1,,,Hybrids,0.0007277046987133003,0.003572328900195,,0.0028446242014817
S,UNSGA3,Hybrids,2,,,Hybrids,0.0002616715602170999,0.0033171457355194,,0.0030554741753023
S,UNSGA3,Hybrids,3,,,Hybrids,0.0004408174733361997,0.0029837488578671,,0.0025429313845309
S,SMSEMOA,Hybrids,1,,,SMSEMOA,-0.00017421711388099963,,0.0026704070876007,0.0028446242014817
S,SMSEMOA,Hybrids,2,,,Hybrids,2.3142937673299984e-05,,0.0030786171129756,0.0030554741753023
S,SMSEMOA,Hybrids,3,,,Hybrids,0.0007633791269188997,,0.0033063105114498,0.0025429313845309
STE,NSGA2,NSGA3,1,1.5753888295008744e-05,2.7699212099163093e-05,NSGA2,-1.1945323804154349e-05,,,
STE,NSGA2,NSGA3,2,2.562773283157937e-05,3.500682201938951e-05,NSGA2,-9.379089187810142e-06,,,
STE,NSGA2,NSGA3,3,1.9080843952705545e-05,2.8355155518304596e-05,NSGA2,-9.274311565599051e-06,,,
STE,NSGA2,UNSGA3,1,1.5753888295008744e-05,,NSGA2,-1.0845766255744537e-05,2.659965455075328e-05,,
STE,NSGA2,UNSGA3,2,2.562773283157937e-05,,NSGA2,-1.317509533305232e-06,2.69452423648846e-05,,
STE,NSGA2,UNSGA3,3,1.9080843952705545e-05,,NSGA2,-3.5971548467868376e-06,2.2677998799492383e-05,,
STE,NSGA2,SMSEMOA,1,1.5753888295008744e-05,,SMSEMOA,7.168055955108588e-07,,1.5037082699497885e-05,
STE,NSGA2,SMSEMOA,2,2.562773283157937e-05,,SMSEMOA,4.737808992288943e-06,,2.0889923839290427e-05,
STE,NSGA2,SMSEMOA,3,1.9080843952705545e-05,,NSGA2,-2.9909889963693887e-07,,1.9379942852342484e-05,
STE,NSGA2,Hybrids,1,1.5753888295008744e-05,,Hybrids,4.110394156310702e-06,,,1.1643494138698042e-05
STE,NSGA2,Hybrids,2,2.562773283157937e-05,,Hybrids,1.2164394747463937e-05,,,1.3463338084115433e-05
STE,NSGA2,Hybrids,3,1.9080843952705545e-05,,Hybrids,9.194479451532196e-06,,,9.88636450117335e-06
