Metric,Algorithm_1,Algorithm_2,Wins_Alg1,Wins_Alg2,Ties,Total_Comparisons,Win_Rate_Alg1_%,Win_Rate_Alg2_%,Tie_Rate_%,Dominant
S,SMSEMOA,NSGA2,1,0,0,1,100.0,0.0,0.0,SMSEMOA
S,SMSEMOA,NSGA3,1,0,0,1,100.0,0.0,0.0,SMSEMOA
S,SMSEMOA,UNSGA3,1,0,0,1,100.0,0.0,0.0,SMSEMOA
S,SMSEMOA,Hybrids,1,0,0,1,100.0,0.0,0.0,SMSEMOA
S,Hybrids,NSGA2,0,1,0,1,0.0,100.0,0.0,NSGA2
S,Hybrids,NSGA3,0,1,0,1,0.0,100.0,0.0,NSGA3
S,Hybrids,UNSGA3,0,1,0,1,0.0,100.0,0.0,UNSGA3
S,Hybrids,SMSEMOA,0,1,0,1,0.0,100.0,0.0,SMSEMOA
STE,NSGA2,NSGA3,1,0,0,1,100.0,0.0,0.0,NSGA2
STE,NSGA2,UNSGA3,1,0,0,1,100.0,0.0,0.0,NSGA2
STE,NSGA2,SMSEMOA,0,1,0,1,0.0,100.0,0.0,SMSEMOA
STE,NSGA2,Hybrids,1,0,0,1,100.0,0.0,0.0,NSGA2
STE,NSGA3,NSGA2,0,1,0,1,0.0,100.0,0.0,NSGA2
STE,NSGA3,UNSGA3,0,1,0,1,0.0,100.0,0.0,UNSGA3
STE,NSGA3,SMSEMOA,0,1,0,1,0.0,100.0,0.0,SMSEMOA
STE,NSGA3,Hybrids,1,0,0,1,100.0,0.0,0.0,NSGA3
STE,UNSGA3,NSGA2,0,1,0,1,0.0,100.0,0.0,NSGA2
STE,UNSGA3,NSGA3,1,0,0,1,100.0,0.0,0.0,UNSGA3
STE,UNSGA3,SMSEMOA,0,1,0,1,0.0,100.0,0.0,SMSEMOA
STE,UNSGA3,Hybrids,1,0,0,1,100.0,0.0,0.0,UNSGA3
STE,SMSEMOA,NSGA2,1,0,0,1,100.0,0.0,0.0,SMSEMOA
STE,SMSEMOA,NSGA3,1,0,0,1,100.0,0.0,0.0,SMSEMOA
STE,SMSEMOA,UNSGA3,1,0,0,1,100.0,0.0,0.0,SMSEMOA
STE,SMSEMOA,Hybrids,1,0,0,1,100.0,0.0,0.0,SMSEMOA
STE,Hybrids,NSGA2,0,1,0,1,0.0,100.0,0.0,NSGA2
STE,Hybrids,NSGA3,0,1,0,1,0.0,100.0,0.0,NSGA3
STE,Hybrids,UNSGA3,0,1,0,1,0.0,100.0,0.0,UNSGA3
STE,Hybrids,SMSEMOA,0,1,0,1,0.0,100.0,0.0,SMSEMOA
